Year;Official Code State;Official Name State;Official Code Local Government Area;Official Name Local Government Area;Iso 3166-3 Area Code;Type;Long Official Name Local Government Area
2021;4;South Australia;45340;Onkaparinga;AUS;local government area;Onkaparinga
2021;5;Western Australia;50770;Boyup Brook;AUS;local government area;Boyup Brook
2021;5;Western Australia;51680;Chittering;AUS;local government area;Chittering
2021;5;Western Australia;52240;Cranbrook;AUS;local government area;Cranbrook
2021;5;Western Australia;52660;Dardanup;AUS;local government area;Dardanup
2021;5;Western Australia;55880;Mount Marshall;AUS;local government area;Mount Marshall
2021;5;Western Australia;57080;Perth;AUS;local government area;Perth
2021;5;Western Australia;57770;Shark Bay;AUS;local government area;Shark Bay
2021;5;Western Australia;58570;Vincent;AUS;local government area;Vincent
2021;5;Western Australia;58610;Wagin;AUS;local government area;Wagin
2021;5;Western Australia;58820;Waroona;AUS;local government area;Waroona
2021;5;Western Australia;59250;Wiluna;AUS;local government area;Wiluna
2021;5;Western Australia;59370;York;AUS;local government area;York
2021;1;New South Wales;11600;Carrathool;AUS;local government area;Carrathool
2021;1;New South Wales;13010;Glen Innes Severn;AUS;local government area;Glen Innes Severn
2021;1;New South Wales;15270;Mid-Western Regional;AUS;local government area;Mid-Western Regional
2021;1;New South Wales;15520;Murray River;AUS;local government area;Murray River
2021;2;Victoria;20830;Baw Baw;AUS;local government area;Baw Baw
2021;4;South Australia;40430;Barunga West;AUS;local government area;Barunga West
2021;4;South Australia;47910;Tumby Bay;AUS;local government area;Tumby Bay
2021;4;South Australia;49399;Unincorporated SA;AUS;local government area;Unincorporated SA
2021;5;Western Australia;55250;Meekatharra;AUS;local government area;Meekatharra
2021;5;Western Australia;59030;Westonia;AUS;local government area;Westonia
2021;1;New South Wales;10900;Blue Mountains;AUS;local government area;Blue Mountains
2021;1;New South Wales;13310;Goulburn Mulwaree;AUS;local government area;Goulburn Mulwaree
2021;1;New South Wales;14850;Lismore;AUS;local government area;Lismore
2021;1;New South Wales;15240;Mid-Coast;AUS;local government area;Mid-Coast
2021;2;Victoria;20740;Bass Coast;AUS;local government area;Bass Coast
2021;2;Victoria;21670;Central Goldfields;AUS;local government area;Central Goldfields
2021;2;Victoria;27170;Wodonga;AUS;local government area;Wodonga
2021;4;South Australia;44620;Mount Gambier;AUS;local government area;Mount Gambier
2021;5;Western Australia;51750;Claremont;AUS;local government area;Claremont
2021;5;Western Australia;53290;Esperance;AUS;local government area;Esperance
2021;5;Western Australia;54130;Jerramungup;AUS;local government area;Jerramungup
2021;5;Western Australia;58260;Three Springs;AUS;local government area;Three Springs
2021;5;Western Australia;58890;West Arthur;AUS;local government area;West Arthur
2021;7;Northern Territory;70420;Barkly;AUS;local government area;Barkly
2021;7;Northern Territory;70540;Belyuen;AUS;local government area;Belyuen
2021;7;Northern Territory;72200;Katherine;AUS;local government area;Katherine
2021;7;Northern Territory;74660;West Arnhem;AUS;local government area;West Arnhem
2021;1;New South Wales;11350;Byron;AUS;local government area;Byron
2021;2;Victoria;23190;Horsham;AUS;local government area;Horsham
2021;2;Victoria;25060;Moonee Valley;AUS;local government area;Moonee Valley
2021;2;Victoria;25810;Northern Grampians;AUS;local government area;Northern Grampians
2021;3;Queensland;30450;Barcoo;AUS;local government area;Barcoo
2021;3;Queensland;35780;Northern Peninsula Area;AUS;local government area;Northern Peninsula Area
2021;3;Queensland;36580;Somerset;AUS;local government area;Somerset
2021;5;Western Australia;51470;Carnamah;AUS;local government area;Carnamah
2021;5;Western Australia;53780;Gosnells;AUS;local government area;Gosnells
2021;5;Western Australia;54480;Kent;AUS;local government area;Kent
2021;5;Western Australia;56860;Nungarin;AUS;local government area;Nungarin
2021;5;Western Australia;58330;Toodyay;AUS;local government area;Toodyay
2021;5;Western Australia;58680;Wandering;AUS;local government area;Wandering
2021;5;Western Australia;59100;Wickepin;AUS;local government area;Wickepin
2021;1;New South Wales;12730;Edward River;AUS;local government area;Edward River
2021;1;New South Wales;13800;Hawkesbury;AUS;local government area;Hawkesbury
2021;1;New South Wales;15650;Muswellbrook;AUS;local government area;Muswellbrook
2021;1;New South Wales;16400;Port Stephens;AUS;local government area;Port Stephens
2021;1;New South Wales;17850;Walcha;AUS;local government area;Walcha
2021;2;Victoria;21890;Darebin;AUS;local government area;Darebin
2021;2;Victoria;26430;Strathbogie;AUS;local government area;Strathbogie
2021;3;Queensland;33980;Isaac;AUS;local government area;Isaac
2021;3;Queensland;34860;Maranoa;AUS;local government area;Maranoa
2021;3;Queensland;36720;Sunshine Coast;AUS;local government area;Sunshine Coast
2021;3;Queensland;37400;Winton;AUS;local government area;Winton
2021;3;Queensland;37570;Wujal Wujal;AUS;local government area;Wujal Wujal
2021;4;South Australia;41060;Charles Sturt;AUS;local government area;Charles Sturt
2021;4;South Australia;41560;Copper Coast;AUS;local government area;Copper Coast
2021;4;South Australia;45890;Port Adelaide Enfield;AUS;local government area;Port Adelaide Enfield
2021;5;Western Australia;50490;Belmont;AUS;local government area;Belmont
2021;5;Western Australia;56790;Northampton;AUS;local government area;Northampton
2021;5;Western Australia;58050;Swan;AUS;local government area;Swan
2021;5;Western Australia;59350;Yalgoo;AUS;local government area;Yalgoo
2021;6;Tasmania;65610;West Coast;AUS;local government area;West Coast
2021;7;Northern Territory;72330;MacDonnell;AUS;local government area;MacDonnell
2021;1;New South Wales;10300;Balranald;AUS;local government area;Balranald
2021;1;New South Wales;12750;Eurobodalla;AUS;local government area;Eurobodalla
2021;1;New South Wales;12850;Fairfield;AUS;local government area;Fairfield
2021;1;New South Wales;16200;Parkes;AUS;local government area;Parkes
2021;1;New South Wales;16380;Port Macquarie-Hastings;AUS;local government area;Port Macquarie-Hastings
2021;1;New South Wales;18500;Woollahra;AUS;local government area;Woollahra
2021;2;Victoria;20110;Alpine;AUS;local government area;Alpine
2021;2;Victoria;22310;Glen Eira;AUS;local government area;Glen Eira
2021;2;Victoria;25620;Murrindindi;AUS;local government area;Murrindindi
2021;3;Queensland;30300;Balonne;AUS;local government area;Balonne
2021;3;Queensland;34420;Kowanyama;AUS;local government area;Kowanyama
2021;3;Queensland;35250;Mornington;AUS;local government area;Mornington
2021;3;Queensland;36960;Torres Strait Island;AUS;local government area;Torres Strait Island
2021;4;South Australia;40150;Adelaide Plains;AUS;local government area;Adelaide Plains
2021;4;South Australia;42750;Kangaroo Island;AUS;local government area;Kangaroo Island
2021;4;South Australia;48050;Victor Harbor;AUS;local government area;Victor Harbor
2021;5;Western Australia;53080;Dundas;AUS;local government area;Dundas
2021;5;Western Australia;58540;Victoria Plains;AUS;local government area;Victoria Plains
2021;6;Tasmania;64810;Sorell;AUS;local government area;Sorell
2021;7;Northern Territory;71150;Darwin Waterfront Precinct;AUS;local government area;Darwin Waterfront Precinct
2021;7;Northern Territory;74680;West Daly;AUS;local government area;West Daly
2021;8;Australian Capital Territory;89399;Unincorporated ACT;AUS;local government area;Unincorporated ACT
2021;1;New South Wales;10800;Bland;AUS;local government area;Bland
2021;1;New South Wales;15750;Narrabri;AUS;local government area;Narrabri
2021;1;New South Wales;16350;Penrith;AUS;local government area;Penrith
2021;1;New South Wales;17080;Snowy Valleys;AUS;local government area;Snowy Valleys
2021;1;New South Wales;18450;Wollongong;AUS;local government area;Wollongong
2021;2;Victoria;23430;Kingston;AUS;local government area;Kingston (Vic.)
2021;2;Victoria;24600;Melbourne;AUS;local government area;Melbourne
2021;2;Victoria;24900;Moira;AUS;local government area;Moira
2021;2;Victoria;26670;Towong;AUS;local government area;Towong
2021;3;Queensland;30250;Aurukun;AUS;local government area;Aurukun
2021;3;Queensland;30900;Boulia;AUS;local government area;Boulia
2021;3;Queensland;35760;North Burnett;AUS;local government area;North Burnett
2021;5;Western Australia;51960;Coolgardie;AUS;local government area;Coolgardie
2021;5;Western Australia;54760;Kulin;AUS;local government area;Kulin
2021;5;Western Australia;57000;Perenjori;AUS;local government area;Perenjori
2021;5;Western Australia;57280;Port Hedland;AUS;local government area;Port Hedland
2021;5;Western Australia;58400;Trayning;AUS;local government area;Trayning
2021;5;Western Australia;59170;Williams;AUS;local government area;Williams
2021;5;Western Australia;59330;Wyalkatchem;AUS;local government area;Wyalkatchem
2021;6;Tasmania;61410;Clarence;AUS;local government area;Clarence
2021;6;Tasmania;61510;Derwent Valley;AUS;local government area;Derwent Valley
2021;6;Tasmania;61610;Devonport;AUS;local government area;Devonport
2021;6;Tasmania;62010;Flinders;AUS;local government area;Flinders (Tas.)
2021;6;Tasmania;63410;King Island;AUS;local government area;King Island
2021;1;New South Wales;10550;Bega Valley;AUS;local government area;Bega Valley
2021;1;New South Wales;10950;Bogan;AUS;local government area;Bogan
2021;1;New South Wales;15950;North Sydney;AUS;local government area;North Sydney
